0,Project,Sector,MW,Zero Date,State,Scope,Region,Customer,BOILER ERECTION START_Schedule,BOILER ERECTION START_Schedule_Exp/Actual,DRUM LIFTING_Schedule,DRUM LIFTING_Schedule_Exp/Actual,CEILING GIRDER/SEPERATOR ERECTION COMPLETION_Schedule,CEILING GIRDER/SEPERATOR ERECTION COMPLETION_Schedule_Exp/Actual,HYDRAULIC TEST_Schedule,HYDRAULIC TEST_Schedule_Exp/Actual,BOILER LIGHT UP_Schedule,BOILER LIGHT UP_Schedule_Exp/Actual,ALKALI BOIL OUT COMPLETION_Schedule,ALKALI BOIL OUT COMPLETION_Schedule_Exp/Actual,EDTA START_Schedule,EDTA START_Schedule_Exp/Actual,EDTA COMPLETION_Schedule,EDTA COMPLETION_Schedule_Exp/Actual,STEAM BLOWING START_Schedule,STEAM BLOWING START_Schedule_Exp/Actual,STEAM BLOWING COMPLETION_Schedule,STEAM BLOWING COMPLETION_Schedule_Exp/Actual,NORMALIZATION_Schedule,NORMALIZATION_Schedule_Exp/Actual,CONDENSER ERECTION START_Schedule,CONDENSER ERECTION START_Schedule_Exp/Actual,TURBINE ERECTION START_Schedule,TURBINE ERECTION START_Schedule_Exp/Actual,TG BOX UP_Schedule,TG BOX UP_Schedule_Exp/Actual,OIL FLUSHING START_Schedule,OIL FLUSHING START_Schedule_Exp/Actual,OIL FLUSHING COMPLETION_Schedule,OIL FLUSHING COMPLETION_Schedule_Exp/Actual,BARRING GEAR_Schedule,BARRING GEAR_Schedule_Exp/Actual,ROLLING_Schedule,ROLLING_Schedule_Exp/Actual,SYNCHRONISATION_Schedule,SYNCHRONISATION_Schedule_Exp/Actual,FULL LOAD_Schedule,FULL LOAD_Schedule_Exp/Actual,CAPACITY ADDITION_Schedule,CAPACITY ADDITION_Schedule_Exp/Actual,COMMERCIAL OPERATION DECLARATION_Schedule,COMMERCIAL OPERATION DECLARATION_Schedule_Exp/Actual,TRIAL OPERATION COMPLETION_Schedule,TRIAL OPERATION COMPLETION_Schedule_Exp/Actual,HAND OVER_Schedule,HAND OVER_Schedule_Exp/Actual
69,MAUDA THERMAL POWER PROJECT UNIT-1 (2X500 MW),CENTRAL,500,28-11-08,MAHARASHTRA,BTG,PSWR,NTPC,27-09-09,30-08-09,27-02-10,02-06-10,N.A.,N.A.,27-01-11,08-04-11,27-09-11,20-12-11,N.A.,N.A.,23-09-11,09-01-12,30-09-11,11-01-12,29-10-11,11-02-12,27-11-11,03-03-12,N.A.,N.A.,27-07-10,19-01-11,27-09-10,25-02-11,27-09-11,30-12-11,05-10-11,15-01-12,27-11-11,07-03-12,20-12-11,28-03-12,N.A.,N.A.,27-01-12,08-04-12,27-04-12,19-04-12,N.A.,N.A.,27-04-12,13-03-13,27-04-12,28-01-14,N.A.,N.A.
70,PARICHHA TPS EXTN UNIT-5 (2 X 250 MW),STATE,250,04-08-06,UTTAR PRADESH,BTG + CIVIL,PSNR,UPRVUNL,04-05-07,25-02-08,20-10-07,05-09-08,N.A.,N.A.,29-08-08,20-04-09,15-01-09,26-02-10,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,30-03-09,31-12-11,N.A.,N.A.,05-01-08,20-06-09,N.A.,N.A.,08-01-09,11-04-10,N.A.,N.A.,11-03-09,10-01-12,10-04-09,18-01-12,N.A.,N.A.,30-04-09,05-02-12,02-07-09,24-05-12,N.A.,N.A.,02-07-09,17-07-12,02-07-09,24-06-12,N.A.,N.A.
71,HARDUAGANJ EXTENSION UNIT-9 (2 X 250 MW ),STATE,250,07-09-06,UTTAR PRADESH,BTG + CIVIL,PSNR,UPRVUNL,07-11-07,20-11-08,07-05-08,31-03-09,N.A.,N.A.,07-04-09,26-02-10,07-08-09,20-11-11,N.A.,N.A.,22-08-09,16-12-11,26-08-09,20-12-11,27-10-09,04-02-12,07-11-09,12-02-12,N.A.,N.A.,07-08-08,09-03-10,N.A.,N.A.,07-08-09,31-12-11,08-08-09,11-01-12,07-09-09,14-03-12,07-11-09,23-03-12,N.A.,N.A.,07-12-09,02-04-12,07-02-10,25-05-12,N.A.,N.A.,07-02-10,06-10-12,07-02-10,06-10-12,N.A.,N.A.
72,RIHAND STPP STAGE-III UNIT- 5 (2X500 MW ),CENTRAL,500,28-01-09,UTTAR PRADESH,BTG,PSWR,NTPC,27-11-09,07-02-10,27-04-10,06-08-10,N.A.,N.A.,27-03-11,30-06-11,27-09-11,31-01-12,27-09-11,19-02-12,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,27-11-11,19-03-12,N.A.,N.A.,16-09-10,28-09-10,16-11-10,30-11-10,16-10-11,30-01-12,N.A.,N.A.,16-12-11,25-03-12,11-01-12,24-04-12,N.A.,N.A.,16-02-12,19-05-12,27-04-12,25-05-12,N.A.,N.A.,27-04-12,19-11-12,27-04-12,07-03-13,N.A.,N.A.
73,VINDHYACHAL STPP STAGE-IV UNIT-11 (2X500 MW),CENTRAL,500,29-01-09,MADHYA PRADESH,BTG,PSWR,NTPC,28-11-09,11-03-10,28-04-10,30-06-10,N.A.,N.A.,28-03-11,30-06-11,28-09-11,14-02-12,01-10-11,19-02-12,13-10-11,17-02-12,19-10-11,19-02-12,30-10-11,11-03-12,28-11-11,26-03-12,N.A.,N.A.,17-09-10,29-10-10,17-11-10,17-12-10,17-10-11,31-12-11,08-11-11,27-01-12,17-12-11,21-03-12,11-01-12,24-04-12,N.A.,N.A.,17-02-12,13-06-12,28-04-12,14-06-12,N.A.,N.A.,28-04-12,01-03-13,28-04-12,28-09-13,N.A.,N.A.
74,BINA UNIT-1 (2 X 250 MW),PRIVATE,250,20-09-08,MADHYA PRADESH,BTG,PSWR,BPSCL,20-07-09,04-01-10,19-11-09,24-03-10,N.A.,N.A.,19-09-10,04-02-11,19-01-11,25-02-12,N.A.,N.A.,N.A.,N.A.,31-03-11,07-03-12,N.A.,N.A.,10-05-11,04-05-12,N.A.,N.A.,19-01-10,31-10-10,N.A.,N.A.,05-03-11,11-07-11,N.A.,N.A.,10-04-11,11-04-12,25-05-11,26-05-12,N.A.,N.A.,19-06-11,27-06-12,19-07-11,12-08-12,N.A.,N.A.,19-09-11,29-08-12,19-09-11,21-03-14,N.A.,N.A.
75,JHAJJAR(INDIRA GANDHI STPP) UNIT-3 (3X500MW),CENTRAL,500,06-07-07,HARYANA,BTG,PSNR,APCPL/NTPC,05-11-08,30-03-09,05-04-09,12-11-09,N.A.,N.A.,05-03-10,30-04-11,05-09-10,17-05-12,12-09-10,10-06-12,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,05-11-10,03-08-12,N.A.,N.A.,14-08-09,16-02-11,14-10-09,12-07-11,14-09-10,02-06-12,N.A.,N.A.,14-12-10,31-08-12,31-12-10,28-10-12,N.A.,N.A.,14-01-11,07-11-12,31-03-11,07-11-12,N.A.,N.A.,14-05-11,26-04-13,14-05-11,30-11-13,N.A.,N.A.
76,ADHUNIK TPP UNIT-1 (2X270 MW),PRIVATE,270,19-05-09,JHARKHAND,BTG,PSER,APNRL,20-03-10,18-03-10,30-07-10,27-08-10,N.A.,N.A.,30-04-11,06-09-11,30-09-11,20-04-12,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,10-10-11,21-06-12,N.A.,N.A.,30-09-10,29-12-10,N.A.,N.A.,24-08-11,20-10-11,N.A.,N.A.,24-09-11,14-05-12,24-10-11,25-05-12,N.A.,N.A.,24-11-11,13-11-12,31-01-12,19-11-12,N.A.,N.A.,31-01-12,27-01-13,31-01-12,27-01-13,31-01-12,
77,KODERMA TPP UNIT-2 (2X500 MW),CENTRAL,500,21-07-07,JHARKHAND,EPC,PSER,DVC,20-07-08,25-02-09,17-12-08,09-07-09,N.A.,N.A.,21-11-09,09-09-10,05-05-10,26-04-12,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,18-05-09,29-01-11,N.A.,N.A.,18-04-10,20-07-12,N.A.,N.A.,24-06-10,10-10-12,21-07-10,23-01-13,N.A.,N.A.,08-08-10,11-02-13,21-09-10,15-02-13,N.A.,N.A.,21-09-10,14-06-14,21-09-10,14-01-15,N.A.,N.A.
78,VALLUR TPS UNIT-2 (2X500 MW),CENTRAL,500,13-08-07,TAMILNADU,BTG,PSSR,NTECL (NTPC TAMILNADU ENERGY COMPANY LIMITED),12-11-08,18-07-09,13-04-09,26-12-09,N.A.,N.A.,12-04-10,31-12-10,12-11-10,16-07-12,N.A.,N.A.,01-12-10,26-09-12,12-12-10,28-09-12,25-01-11,27-11-12,28-02-11,19-12-12,N.A.,N.A.,12-09-09,11-05-11,12-11-09,24-10-11,12-11-10,19-07-12,12-11-10,26-10-12,12-12-10,20-12-12,12-02-11,31-01-13,N.A.,N.A.,12-03-11,26-02-13,12-07-11,28-02-13,N.A.,N.A.,12-07-11,25-08-13,12-07-11,25-11-13,N.A.,N.A.
79,UKAI UNIT-6 (1X500 MW),STATE,500,06-10-07,GUJARAT,EPC,PSWR,GSECL,02-03-09,06-05-09,15-07-09,31-12-09,N.A.,N.A.,10-03-10,14-10-10,30-09-10,07-03-12,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,12-08-09,27-06-11,12-09-09,13-07-11,30-08-10,27-02-12,N.A.,N.A.,15-10-10,03-07-12,17-11-10,21-09-12,N.A.,N.A.,26-12-10,30-09-12,06-02-11,05-03-13,N.A.,N.A.,06-02-11,06-07-14,06-02-11,06-07-14,N.A.,N.A.
80,NORTH CHENNAI TPS STAGE-II UNIT-2 (2X600 MW),STATE,600,16-08-08,TAMILNADU,EPC,PSSR,TANGEDCO,17-07-09,18-07-09,17-12-09,25-03-10,N.A.,N.A.,17-11-10,28-03-11,29-05-11,11-04-12,N.A.,N.A.,N.A.,N.A.,19-06-11,24-06-12,28-06-11,11-09-12,22-07-11,09-10-12,N.A.,N.A.,18-04-10,12-05-11,N.A.,N.A.,19-03-11,03-08-12,20-04-11,17-08-12,19-05-11,28-09-12,19-06-11,13-10-12,N.A.,N.A.,03-08-11,17-12-12,18-11-11,09-03-13,N.A.,N.A.,18-11-11,08-05-14,18-11-11,08-05-14,,
81,PARICHHA TPS EXTN UNIT-6 (2 X 250 MW),STATE,250,04-08-06,UTTAR PRADESH,BTG + CIVIL,PSNR,UPRVUNL,04-09-07,05-05-08,20-02-08,04-12-08,N.A.,N.A.,29-12-08,16-11-09,15-05-09,28-04-12,N.A.,N.A.,01-06-09,11-05-12,05-06-09,15-05-12,19-07-09,09-08-12,30-07-09,17-08-12,N.A.,N.A.,05-05-08,15-12-09,N.A.,N.A.,08-05-09,20-05-11,09-05-09,04-04-12,08-06-09,19-08-12,10-08-09,30-08-12,N.A.,N.A.,30-08-09,17-09-12,02-11-09,11-03-13,N.A.,N.A.,02-11-09,18-04-13,02-11-09,18-04-13,N.A.,N.A.
82,BELA (1X270 MW),PRIVATE,270,01-04-09,MAHARASHTRA,BTG,PSWR,IEPL,26-12-09,06-03-10,26-06-10,27-08-10,N.A.,N.A.,15-04-11,06-06-11,15-08-11,29-02-12,15-09-11,10-05-12,20-09-11,01-04-12,25-09-11,05-04-12,19-10-11,20-04-12,15-10-11,25-05-12,N.A.,N.A.,25-08-10,01-01-11,N.A.,N.A.,16-07-11,31-07-12,18-09-11,25-06-12,15-09-11,30-07-12,15-10-11,12-09-12,N.A.,N.A.,28-11-11,07-03-13,25-01-12,20-03-13,N.A.,N.A.,25-01-12,18-07-13,25-01-12,,N.A.,N.A.
83,KORBA WEST (1 X 500 MW),STATE,500,31-12-08,CHHATTISGARH,BTG + CIVIL,PSER,CSPGCL,30-10-09,24-05-10,31-05-10,29-11-10,N.A.,N.A.,30-05-11,20-09-11,30-10-11,30-09-12,N.A.,N.A.,27-11-11,18-11-12,05-12-11,26-11-12,24-12-11,07-01-13,31-12-11,24-01-13,N.A.,N.A.,30-08-10,27-04-11,N.A.,N.A.,21-09-11,19-05-12,28-09-11,28-08-12,27-10-11,21-11-12,21-01-12,30-01-13,N.A.,N.A.,28-02-12,18-03-13,30-06-12,22-03-13,N.A.,N.A.,30-06-12,05-09-13,30-06-12,03-01-14,N.A.,N.A.
84,SATPURA UNIT-10 ( 2 X 250 MW ) ,STATE,250,27-02-09,MADHYA PRADESH,BTG + CIVIL,PSWR,MPPGCL,01-01-10,08-04-10,30-04-10,10-12-10,N.A.,N.A.,31-01-11,04-11-11,31-07-11,10-10-12,N.A.,N.A.,31-08-11,29-11-12,31-10-11,04-12-12,31-10-11,23-12-12,31-10-11,04-01-13,N.A.,N.A.,01-10-10,28-11-11,01-12-10,06-12-11,30-09-11,13-10-12,31-10-11,24-11-12,30-10-11,13-01-13,19-11-11,30-01-13,N.A.,N.A.,30-11-11,22-02-13,27-01-12,22-03-13,N.A.,N.A.,27-01-12,18-08-13,27-01-12,09-09-14,,
85,VINDHYACHAL STPP STAGE-IV UNIT-12 (2X500 MW),CENTRAL,500,29-01-09,MADHYA PRADESH,BTG,PSWR,NTPC,28-03-10,24-06-10,28-08-10,25-01-11,N.A.,N.A.,28-07-11,28-03-12,28-01-12,21-12-12,N.A.,N.A.,01-02-12,29-12-12,06-02-12,31-12-12,28-02-12,25-01-13,28-03-12,12-02-13,N.A.,N.A.,17-01-11,17-05-12,17-03-11,15-06-12,17-02-12,26-12-12,17-03-12,05-01-13,17-04-12,19-02-13,07-05-12,08-03-13,N.A.,N.A.,28-06-12,22-03-13,28-08-12,22-03-13,N.A.,N.A.,28-08-12,27-03-14,28-08-12,09-06-14,N.A.,N.A.
86,AMRAVATI TPP PH-I UNIT-1 (5 X 270 MW),PRIVATE,270,30-11-09,MAHARASHTRA,BTG,PSWR,INDIA BULLS,31-07-10,03-10-10,30-11-10,01-03-11,N.A.,N.A.,31-08-11,11-03-12,30-11-11,25-08-12,N.A.,N.A.,25-12-11,15-10-12,30-12-11,19-10-12,05-01-12,11-01-13,30-01-12,31-01-13,N.A.,N.A.,31-03-11,11-05-11,N.A.,N.A.,31-01-12,09-06-12,01-02-12,08-09-12,25-02-12,26-12-12,29-02-12,19-01-13,N.A.,N.A.,29-02-12,09-03-13,30-03-12,25-03-13,N.A.,N.A.,31-05-12,08-06-13,31-05-12,31-05-13,N.A.,N.A.
87,MAUDA THERMAL POWER PROJECT UNIT-2 (2X500 MW),CENTRAL,500,28-11-08,MAHARASHTRA,BTG,PSWR,NTPC,27-02-10,16-05-10,27-07-10,05-12-10,N.A.,N.A.,27-06-11,30-11-11,27-02-12,27-11-12,N.A.,N.A.,28-03-12,30-11-12,30-03-12,03-12-12,27-03-12,23-12-12,27-04-12,31-01-13,N.A.,N.A.,27-12-10,25-05-12,27-02-11,02-07-12,27-02-12,30-12-12,27-03-12,12-12-12,27-04-12,25-02-13,20-05-12,09-03-13,N.A.,N.A.,27-06-12,26-03-13,27-09-12,29-03-13,N.A.,N.A.,27-09-12,29-03-14,27-09-12,26-04-14,N.A.,N.A.
88,ADHUNIK TPP UNIT-2 (2X270 MW),PRIVATE,270,31-07-09,JHARKHAND,BTG,PSER,APNRL,20-05-10,31-10-10,30-09-10,20-02-11,N.A.,N.A.,30-06-11,20-03-12,30-11-11,15-10-12,N.A.,N.A.,01-12-11,16-01-13,05-12-11,25-01-13,06-12-11,03-03-13,21-12-11,11-03-13,N.A.,N.A.,30-11-10,30-05-11,N.A.,N.A.,24-10-11,22-03-13,05-11-11,11-01-13,24-11-11,28-02-13,24-12-11,22-03-13,N.A.,N.A.,24-01-12,29-03-13,31-03-12,29-03-13,N.A.,N.A.,31-03-12,21-06-13,31-03-12,21-06-13,31-03-12,
89,BINA UNIT-2 (2 X 250 MW),PRIVATE,250,20-09-08,MADHYA PRADESH,BTG,PSWR,BPSCL,20-10-09,28-01-10,19-02-10,06-06-10,N.A.,N.A.,19-12-10,24-05-11,19-04-11,09-11-12,N.A.,N.A.,24-06-11,22-11-12,30-06-11,26-11-12,20-07-11,22-12-12,10-08-11,14-01-13,N.A.,N.A.,19-04-10,28-05-11,N.A.,N.A.,05-06-10,16-04-12,30-06-11,29-09-12,30-07-11,10-12-12,24-08-11,31-01-13,N.A.,N.A.,19-09-11,04-03-13,19-12-11,31-03-13,N.A.,N.A.,19-12-11,06-04-13,19-12-11,21-03-14,N.A.,N.A.
90,NORTH CHENNAI TPS STAGE-II UNIT-1 (2X600 MW),STATE,600,18-02-08,TAMILNADU,EPC,PSSR,TANGEDCO,18-01-09,20-01-09,20-06-09,12-04-10,N.A.,N.A.,21-05-10,10-09-11,30-11-10,28-11-12,N.A.,N.A.,21-12-10,11-01-13,23-12-10,13-01-13,30-12-10,24-03-13,23-01-11,30-04-13,N.A.,N.A.,20-10-09,28-04-11,N.A.,N.A.,20-09-10,06-06-13,22-10-10,02-02-13,20-11-10,07-05-13,21-12-10,06-06-13,N.A.,N.A.,20-02-11,30-06-13,22-05-11,13-09-13,N.A.,N.A.,22-05-11,18-03-14,22-05-11,18-03-14,,
91,CHHABRA UNIT-3 (2X250 MW),STATE,250,20-08-08,RAJASTHAN,BTG,PSNR,RRVUNL,27-07-09,23-06-10,22-01-10,31-12-10,N.A.,N.A.,23-09-10,19-03-12,15-02-11,31-12-12,N.A.,N.A.,26-02-11,19-01-13,02-03-11,22-01-13,20-03-11,03-03-13,20-04-11,15-03-13,N.A.,N.A.,22-02-10,27-08-11,N.A.,N.A.,27-03-11,25-01-13,07-04-11,25-01-13,04-05-11,14-03-13,N.A.,N.A.,N.A.,N.A.,31-05-11,15-05-13,31-07-11,14-09-13,N.A.,N.A.,31-07-11,31-12-13,31-07-11,31-12-13,N.A.,N.A.
92,RIHAND STPP STAGE-III UNIT- 6 (2X500 MW ),CENTRAL,500,28-01-09,UTTAR PRADESH,BTG,PSWR,NTPC,27-03-10,25-04-10,27-08-10,22-01-11,N.A.,N.A.,27-07-11,16-02-12,27-01-12,29-12-12,N.A.,N.A.,27-01-12,24-01-13,30-01-12,31-01-13,27-02-12,22-06-13,27-03-12,05-07-13,N.A.,N.A.,16-01-11,26-07-12,16-03-11,07-10-12,16-02-12,27-02-13,17-03-12,27-05-13,17-04-12,02-08-13,11-05-12,12-09-13,N.A.,N.A.,27-05-12,30-09-13,27-08-12,07-10-13,N.A.,N.A.,27-08-12,27-03-14,27-08-12,01-05-14,N.A.,N.A.
93,SHREE SINGAJI (EARLIER MALWA) TPP STAGE-1 UNIT-1 (2X600 MW),STATE,600,12-12-08,MADHYA PRADESH,BTG + CIVIL,PSSR,MPPGCL,12-10-09,30-06-10,11-05-10,08-03-11,N.A.,N.A.,11-04-11,25-04-12,11-11-11,01-01-13,N.A.,N.A.,11-11-11,13-05-13,30-11-11,17-05-13,11-12-11,04-06-13,11-12-11,09-07-13,N.A.,N.A.,12-08-10,31-12-11,12-10-10,31-12-11,11-10-11,09-03-13,01-10-11,07-05-13,11-11-11,15-06-13,05-01-12,09-07-13,N.A.,N.A.,11-01-12,31-08-13,11-03-12,18-11-13,N.A.,N.A.,11-06-12,01-02-14,11-05-12,14-11-14,,
94,BARH STPP STAGE-II UNIT-4 (2X660MW),CENTRAL,660,31-03-08,BIHAR,BTG,PSER,NTPC,31-03-09,26-08-09,N.A.,N.A.,N.A.,N.A.,30-09-10,31-05-12,25-04-11,25-11-12,N.A.,N.A.,15-05-11,17-02-13,25-05-11,26-02-13,01-07-11,24-04-13,31-07-11,01-06-13,N.A.,N.A.,14-08-10,18-02-11,14-10-10,27-10-11,14-09-11,28-02-13,14-11-11,17-04-13,14-12-11,31-05-13,14-01-12,23-08-13,N.A.,N.A.,14-02-12,12-10-13,14-06-12,30-11-13,N.A.,N.A.,14-06-12,15-11-14,14-06-12,14-03-15,14-06-12,
95,SATPURA UNIT-11 ( 2 X 250 MW ) ,STATE,250,27-02-09,MADHYA PRADESH,BTG + CIVIL,PSWR,MPPGCL,01-05-10,01-07-10,30-08-10,16-02-11,N.A.,N.A.,31-05-11,30-04-12,30-11-11,30-06-13,N.A.,N.A.,31-12-11,21-07-13,29-02-12,25-07-13,29-02-12,18-08-13,29-02-12,29-08-13,N.A.,N.A.,01-02-11,18-08-12,01-04-11,15-05-12,30-01-12,30-05-13,29-02-12,28-06-13,29-02-12,12-08-13,19-03-12,08-09-13,N.A.,N.A.,30-03-12,02-10-13,27-05-12,25-12-13,N.A.,N.A.,27-05-12,16-03-14,27-05-12,23-05-14,N.A.,N.A.
96,AMRAVATI TPP PH-I UNIT-2 (5 X 270 MW),PRIVATE,270,30-11-09,MAHARASHTRA,BTG,PSWR,INDIA BULLS,30-09-10,20-10-10,31-01-11,25-03-11,N.A.,N.A.,31-10-11,31-03-12,31-01-12,31-03-13,N.A.,N.A.,25-02-12,20-06-13,29-02-12,27-06-13,05-03-12,27-10-13,30-03-12,12-11-13,N.A.,N.A.,31-05-11,16-09-11,N.A.,N.A.,31-03-12,20-02-13,01-04-12,27-04-13,25-04-12,21-07-13,30-04-12,13-08-13,N.A.,N.A.,30-04-12,01-02-14,30-05-12,17-02-14,N.A.,N.A.,31-07-12,28-03-14,31-07-12,31-05-14,N.A.,N.A.
97,DB SUPER TPP (JANJGIR CHAMPA) UNIT-1 (2X600 MW),PRIVATE,600,24-06-10,CHHATTISGARH,BTG,PSWR,D.B. POWER LTD.,25-05-11,14-03-11,24-09-11,06-10-11,N.A.,N.A.,26-07-12,17-08-12,25-12-12,22-03-13,N.A.,N.A.,N.A.,N.A.,20-01-13,14-06-13,25-01-13,02-08-13,24-02-13,13-08-13,N.A.,N.A.,25-12-11,25-04-12,N.A.,N.A.,25-12-12,16-08-13,01-03-13,07-07-13,27-03-13,21-08-13,27-04-13,16-09-13,N.A.,N.A.,23-05-13,09-10-13,22-08-13,23-02-14,N.A.,N.A.,22-09-13,28-02-14,22-09-13,23-08-14,22-09-13,
98,NASIK INDIA BULLS PH-I UNIT-1 (5 X 270 MW ),PRIVATE,270,24-11-09,MAHARASHTRA,BTG,PSWR,INDIA BULLS,24-08-10,03-11-10,24-01-11,31-03-11,N.A.,N.A.,24-11-11,28-03-12,24-03-12,22-10-12,N.A.,N.A.,10-04-12,09-01-13,15-04-12,17-01-13,20-04-12,19-03-13,14-05-12,20-04-13,N.A.,N.A.,24-04-11,28-07-11,N.A.,N.A.,24-03-12,10-11-12,10-04-12,11-01-13,10-05-12,16-04-13,15-05-12,31-05-13,N.A.,N.A.,24-05-12,05-02-14,N.A.,N.A.,N.A.,N.A.,30-09-12,29-03-14,30-09-12,05-03-14,N.A.,N.A.
99,VALLUR TPS UNIT-3 (1X500 MW),CENTRAL,500,28-07-09,TAMILNADU,BTG,PSSR,NTECL,27-05-10,22-10-10,27-10-10,29-07-11,N.A.,N.A.,27-10-11,30-09-12,27-05-12,31-08-13,N.A.,N.A.,11-06-12,13-11-13,20-06-12,18-11-13,27-07-12,23-12-13,27-08-12,08-01-14,N.A.,N.A.,27-03-11,15-06-12,27-05-11,15-09-12,27-05-12,24-09-13,27-07-12,13-12-13,27-08-12,22-01-14,15-09-12,14-02-14,N.A.,N.A.,27-09-12,28-02-14,27-01-13,28-02-14,N.A.,N.A.,28-02-13,26-02-15,27-01-13,03-06-15,N.A.,N.A.
100,JINDAL POWER LTD-RAIGARH UNIT # 1 (4X600MW) (NUMBER AT SITE-2),PRIVATE,600,27-12-08,CHHATTISGARH,BTG,PSWR,"J P L , NEW DELHI",16-11-11,16-11-11,25-02-12,06-03-12,N.A.,N.A.,12-11-12,31-01-13,02-03-13,30-03-13,N.A.,N.A.,29-03-13,07-06-13,02-04-13,09-06-13,04-03-13,30-07-13,15-03-13,15-08-13,N.A.,N.A.,17-03-12,04-10-12,N.A.,N.A.,19-01-13,30-05-13,01-03-13,20-05-13,20-03-13,30-08-13,25-03-13,11-09-13,N.A.,N.A.,15-05-13,30-09-13,15-06-13,10-03-14,N.A.,N.A.,15-06-13,14-03-14,15-06-13,26-08-14,,
101,MARWA TPP UNIT-1 (2X500 MW),STATE,500,31-12-08,CHHATTISGARH,BTG + CIVIL,PSER,CSPGCL,30-01-10,15-02-10,31-08-10,06-08-10,N.A.,N.A.,30-08-11,05-10-11,30-01-12,14-01-13,N.A.,N.A.,21-02-12,01-08-13,27-02-12,21-08-13,14-03-12,01-10-13,31-03-12,27-10-13,N.A.,N.A.,30-11-10,07-03-11,N.A.,N.A.,21-12-11,23-02-13,28-12-11,14-02-13,27-01-12,15-08-13,21-04-12,09-11-13,N.A.,N.A.,28-05-12,21-12-13,30-09-12,30-03-14,N.A.,N.A.,30-09-12,31-03-16,30-09-12,16-01-18,N.A.,N.A.
102,JINDAL POWER LTD-RAIGARH UNIT # 2 (4X600MW) (NUMBER AT SITE-3),PRIVATE,600,27-12-08,CHHATTISGARH,BTG,PSWR,"J P L , NEW DELHI",14-02-12,16-11-11,25-05-12,05-07-12,N.A.,N.A.,10-02-13,16-04-13,31-05-13,25-11-13,N.A.,N.A.,29-06-13,26-11-13,02-07-13,27-11-13,04-06-13,18-12-13,15-06-13,14-01-14,N.A.,N.A.,15-06-12,27-07-12,N.A.,N.A.,19-04-13,30-08-13,01-06-13,08-10-13,20-06-13,20-01-14,25-06-13,10-02-14,N.A.,N.A.,15-08-13,22-02-14,15-09-13,30-03-14,N.A.,N.A.,15-09-13,31-03-14,15-09-13,13-08-14,,
103,DPL DURGAPUR UNIT-8 (250 MW),STATE,250,28-07-10,WEST BENGAL,EPC,PSER,DPL,08-06-11,30-09-11,19-11-11,19-04-12,N.A.,N.A.,07-11-12,24-01-13,24-07-13,20-01-14,N.A.,N.A.,02-08-13,06-02-14,05-08-13,07-02-14,10-08-13,26-02-14,02-09-13,04-03-14,N.A.,N.A.,09-04-12,28-06-12,06-07-12,20-09-12,19-05-13,19-07-13,23-05-13,11-11-13,19-07-13,19-02-14,31-10-13,03-03-14,N.A.,N.A.,28-11-13,28-03-14,18-12-13,31-03-14,N.A.,N.A.,15-01-14,07-10-14,28-12-13,12-06-15,N.A.,N.A.
104,AVANTHA POWER (KWPCL) PHASE-I (1X600MW),PRIVATE,600,01-05-09,CHHATTISGARH,BTG,PSWR,KORBA WEST POWER COMPANY LIMITED (KWPCL)(AVANTHA),30-04-10,20-11-10,31-10-10,21-05-11,N.A.,N.A.,31-10-11,06-07-12,30-04-12,06-03-13,N.A.,N.A.,15-05-12,11-07-13,30-05-12,15-07-13,01-06-12,01-08-13,30-06-12,23-08-13,N.A.,N.A.,31-01-11,15-03-12,31-03-11,25-05-12,31-03-12,27-09-13,10-04-12,22-06-13,30-04-12,05-09-13,30-06-12,28-09-13,N.A.,N.A.,31-07-12,08-10-13,31-10-12,31-03-14,N.A.,N.A.,31-10-12,31-03-14,31-10-12,01-03-15,31-10-12,
105,JITPL DERANG UNIT-1(2 X 600 MW) ,PRIVATE,600,26-06-09,ORISSA,BTG,PSSR,JINDAL INDIA THERMAL POWER LTD,16-08-10,10-12-10,15-01-11,05-08-11,N.A.,N.A.,22-10-11,13-02-13,22-04-12,10-12-13,N.A.,N.A.,25-04-12,19-12-13,22-05-12,26-12-13,08-06-12,24-01-14,22-07-12,12-02-14,N.A.,N.A.,22-02-11,20-04-12,22-03-11,04-07-12,09-05-12,08-08-13,09-05-12,06-11-13,22-06-12,15-01-14,13-07-12,14-02-14,N.A.,N.A.,10-08-12,29-03-14,26-08-12,10-05-14,N.A.,N.A.,26-08-12,18-04-15,26-08-12,24-04-15,N.A.,N.A.
