0,Project,Sector,MW,Zero Date,State,Scope,Region,Customer,BOILER ERECTION START_Schedule,BOILER ERECTION START_Schedule_Exp/Actual,DRUM LIFTING_Schedule,DRUM LIFTING_Schedule_Exp/Actual,CEILING GIRDER/SEPERATOR ERECTION COMPLETION_Schedule,CEILING GIRDER/SEPERATOR ERECTION COMPLETION_Schedule_Exp/Actual,HYDRAULIC TEST_Schedule,HYDRAULIC TEST_Schedule_Exp/Actual,BOILER LIGHT UP_Schedule,BOILER LIGHT UP_Schedule_Exp/Actual,ALKALI BOIL OUT COMPLETION_Schedule,ALKALI BOIL OUT COMPLETION_Schedule_Exp/Actual,EDTA START_Schedule,EDTA START_Schedule_Exp/Actual,EDTA COMPLETION_Schedule,EDTA COMPLETION_Schedule_Exp/Actual,STEAM BLOWING START_Schedule,STEAM BLOWING START_Schedule_Exp/Actual,STEAM BLOWING COMPLETION_Schedule,STEAM BLOWING COMPLETION_Schedule_Exp/Actual,NORMALIZATION_Schedule,NORMALIZATION_Schedule_Exp/Actual,CONDENSER ERECTION START_Schedule,CONDENSER ERECTION START_Schedule_Exp/Actual,TURBINE ERECTION START_Schedule,TURBINE ERECTION START_Schedule_Exp/Actual,TG BOX UP_Schedule,TG BOX UP_Schedule_Exp/Actual,OIL FLUSHING START_Schedule,OIL FLUSHING START_Schedule_Exp/Actual,OIL FLUSHING COMPLETION_Schedule,OIL FLUSHING COMPLETION_Schedule_Exp/Actual,BARRING GEAR_Schedule,BARRING GEAR_Schedule_Exp/Actual,ROLLING_Schedule,ROLLING_Schedule_Exp/Actual,SYNCHRONISATION_Schedule,SYNCHRONISATION_Schedule_Exp/Actual,FULL LOAD_Schedule,FULL LOAD_Schedule_Exp/Actual,CAPACITY ADDITION_Schedule,CAPACITY ADDITION_Schedule_Exp/Actual,COMMERCIAL OPERATION DECLARATION_Schedule,COMMERCIAL OPERATION DECLARATION_Schedule_Exp/Actual,TRIAL OPERATION COMPLETION_Schedule,TRIAL OPERATION COMPLETION_Schedule_Exp/Actual,HAND OVER_Schedule,HAND OVER_Schedule_Exp/Actual
21,LEHRA MOHABBAT UNIT-4(250 MW),,250,31-03-04,PUNJAB,EPC,PSNR,PSEB,14-06-05,14-07-05,12-10-05,30-10-05,N.A.,N.A.,15-08-06,22-01-07,19-11-06,20-04-08,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,20-01-07,27-06-08,N.A.,N.A.,18-11-05,25-10-06,N.A.,N.A.,23-10-06,04-02-08,N.A.,N.A.,22-11-06,15-06-08,20-12-06,30-06-08,N.A.,N.A.,25-01-07,31-07-08,N.A.,N.A.,N.A.,N.A.,30-03-07,05-02-09,30-03-07,05-02-09,N.A.,N.A.
22,SIPAT-5(500 MW),,500,15-12-03,CHATTISGARH,BTG,PSSR,NTPC,15-03-05,30-03-05,15-08-05,07-10-05,N.A.,N.A.,15-07-06,27-12-06,15-01-07,21-11-07,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,15-03-07,15-02-08,N.A.,N.A.,15-12-05,05-04-07,N.A.,N.A.,15-01-07,06-12-07,N.A.,N.A.,15-03-07,10-07-08,31-03-07,06-08-08,N.A.,N.A.,14-05-07,13-08-08,14-09-07,27-12-08,N.A.,N.A.,14-09-07,27-12-08,14-09-07,31-12-08,N.A.,N.A.
23,TROMBAY-8(250 MW),,250,05-06-06,MAHARASTRA,BTG,PSWR,TATA POWER,01-01-07,01-01-07,21-07-07,14-06-07,N.A.,N.A.,21-02-08,29-08-08,21-05-08,30-09-08,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,30-09-08,30-11-08,N.A.,N.A.,05-10-07,15-11-07,N.A.,N.A.,05-06-08,06-07-08,N.A.,N.A.,05-07-08,06-12-08,01-08-08,15-12-08,N.A.,N.A.,21-08-08,14-01-09,06-10-08,29-03-09,N.A.,N.A.,06-10-08,29-03-09,06-10-08,29-03-09,N.A.,N.A.
24,BAKRESWAR - MP UNIT-5 (2 X 210 MW),STATE,210,30-11-04,WEST BENGAL,BTG,PSER,WBPDCL,30-09-05,01-12-05,30-01-06,09-08-06,N.A.,N.A.,30-12-06,24-03-08,31-03-07,29-06-08,16-04-07,15-07-08,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,15-04-07,28-01-09,N.A.,N.A.,30-09-05,01-12-05,N.A.,N.A.,15-03-07,25-09-08,N.A.,N.A.,30-03-07,30-01-09,15-04-07,28-02-09,N.A.,N.A.,30-06-07,30-03-09,29-10-07,27-06-09,N.A.,N.A.,30-10-07,24-06-09,30-10-07,24-06-09,29-10-07,27-06-09
25,GIRAL UNIT-2 (2X125 MW),STATE,125,15-12-05,RAJASTHAN,BTG,PSNR,RRVUNL,14-12-06,14-12-06,31-03-07,10-05-07,N.A.,N.A.,31-12-07,28-03-08,31-03-08,15-09-08,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,24-03-08,30-10-08,N.A.,N.A.,02-05-07,09-09-07,N.A.,N.A.,02-03-08,10-11-08,N.A.,N.A.,30-04-08,15-11-08,18-05-08,20-11-08,N.A.,N.A.,14-06-08,26-12-08,14-07-08,27-06-09,N.A.,N.A.,14-07-08,12-03-11,14-07-08,12-03-11,N.A.,N.A.
26,BHILAI TPS-2(250 MW),,250,31-03-05,CHATTISGARH,EPC,PSWR,NSPCL,28-02-06,21-05-06,30-07-06,08-10-06,N.A.,N.A.,15-03-07,13-10-07,15-07-07,05-09-08,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,15-09-07,28-01-09,N.A.,N.A.,30-09-06,19-02-07,N.A.,N.A.,30-06-07,31-12-08,N.A.,N.A.,31-08-07,20-01-09,25-09-07,10-03-09,N.A.,N.A.,15-10-07,28-03-09,15-10-07,12-07-09,N.A.,N.A.,15-01-08,21-10-11,15-01-08,30-11-09,N.A.,N.A.
27,KAHALGAON UNIT-7(500),,500,15-12-03,BIHAR,BTG,PSER,NTPC,15-10-04,17-11-04,15-03-05,28-03-05,N.A.,N.A.,15-02-06,31-10-06,15-08-06,15-11-08,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,15-10-06,01-03-09,N.A.,N.A.,15-07-05,16-08-06,N.A.,N.A.,15-08-06,31-08-07,N.A.,N.A.,15-09-06,04-01-09,15-10-06,09-03-09,N.A.,N.A.,15-12-06,31-03-09,15-04-07,31-07-09,N.A.,N.A.,15-04-07,20-03-10,15-04-07,11-04-10,N.A.,N.A.
28,SURATGARH 6 (1X250 MW),STATE,250,15-06-06,RAJASTHAN,BTG,PSNR,RRVUNL,15-03-07,21-05-07,12-08-07,30-09-07,N.A.,N.A.,28-03-08,31-05-08,28-07-08,25-01-09,29-07-08,17-02-09,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,17-09-08,16-03-09,N.A.,N.A.,03-09-07,21-04-08,N.A.,N.A.,20-07-08,12-01-09,N.A.,N.A.,27-08-08,15-03-09,07-09-08,24-03-09,N.A.,N.A.,16-10-08,31-03-09,16-12-08,29-08-09,N.A.,N.A.,30-12-09,30-12-09,15-12-08,13-10-09,N.A.,N.A.
29,KOTA UNIT-7 (1X195 MW),STATE,195,15-06-06,RAJASTHAN,BTG,PSNR,RRVUNL,06-04-07,21-05-07,03-09-07,28-10-07,N.A.,N.A.,19-04-08,31-05-08,19-08-08,22-01-09,26-08-08,21-02-09,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,09-10-08,01-05-09,N.A.,N.A.,03-10-07,19-05-08,N.A.,N.A.,17-08-08,06-02-09,N.A.,N.A.,24-09-08,05-05-09,11-10-08,15-05-09,N.A.,N.A.,07-11-08,30-05-09,07-01-09,31-08-09,N.A.,N.A.,15-12-09,15-12-09,06-01-09,14-12-09,N.A.,N.A.
30,BUDGE BUDGE,,250,24-12-06,WEST BANGAL,EPC,PSER,CESC,17-07-07,10-08-07,31-12-07,10-02-08,N.A.,N.A.,25-08-08,28-09-08,08-12-08,19-03-09,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,22-03-09,10-06-09,N.A.,N.A.,18-02-08,29-05-08,N.A.,N.A.,14-12-08,31-05-09,N.A.,N.A.,13-01-09,10-06-09,03-02-09,20-06-09,N.A.,N.A.,29-04-09,12-07-09,29-06-09,29-09-09,N.A.,N.A.,29-06-09,27-02-10,29-06-09,27-02-10,N.A.,N.A.
