0,Project,Sector,MW,Zero Date,State,Scope,Region,Customer,PROJECT START_Schedule,PROJECT START_Schedule_Exp/Actual,SITE OPENING_Schedule,SITE OPENING_Schedule_Exp/Actual,CVL START_Schedule,CVL START_Schedule_Exp/Actual,BOILER ERECTION START_Schedule,BOILER ERECTION START_Schedule_Exp/Actual,DRUM LIFTING_Schedule,DRUM LIFTING_Schedule_Exp/Actual,CEILING GIRDER/SEPERATOR ERECTION COMPLETION_Schedule,CEILING GIRDER/SEPERATOR ERECTION COMPLETION_Schedule_Exp/Actual,HYDRAULIC TEST_Schedule,HYDRAULIC TEST_Schedule_Exp/Actual,BOILER LIGHT UP_Schedule,BOILER LIGHT UP_Schedule_Exp/Actual,ALKALI BOIL OUT COMPLETION_Schedule,ALKALI BOIL OUT COMPLETION_Schedule_Exp/Actual,EDTA START_Schedule,EDTA START_Schedule_Exp/Actual,EDTA COMPLETION_Schedule,EDTA COMPLETION_Schedule_Exp/Actual,STEAM BLOWING START_Schedule,STEAM BLOWING START_Schedule_Exp/Actual,STEAM BLOWING COMPLETION_Schedule,STEAM BLOWING COMPLETION_Schedule_Exp/Actual,NORMALIZATION_Schedule,NORMALIZATION_Schedule_Exp/Actual,CONDENSER ERECTION START_Schedule,CONDENSER ERECTION START_Schedule_Exp/Actual,TURBINE ERECTION START_Schedule,TURBINE ERECTION START_Schedule_Exp/Actual,TG BOX UP_Schedule,TG BOX UP_Schedule_Exp/Actual,OIL FLUSHING START_Schedule,OIL FLUSHING START_Schedule_Exp/Actual,OIL FLUSHING COMPLETION_Schedule,OIL FLUSHING COMPLETION_Schedule_Exp/Actual,BARRING GEAR_Schedule,BARRING GEAR_Schedule_Exp/Actual,ROLLING_Schedule,ROLLING_Schedule_Exp/Actual,SYNCHRONISATION_Schedule,SYNCHRONISATION_Schedule_Exp/Actual,FULL LOAD_Schedule,FULL LOAD_Schedule_Exp/Actual,CAPACITY ADDITION_Schedule,CAPACITY ADDITION_Schedule_Exp/Actual,COMMERCIAL OPERATION DECLARATION_Schedule,COMMERCIAL OPERATION DECLARATION_Schedule_Exp/Actual,TRIAL OPERATION COMPLETION_Schedule,TRIAL OPERATION COMPLETION_Schedule_Exp/Actual,HAND OVER_Schedule,HAND OVER_Schedule_Exp/Actual
54,SANTALDIH EXTN UNIT-6 (1X250 MW) ,STATE,250,23-03-2007,WEST BENGAL,EPC,PSER,WBPDCL,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,29-12-2007,25-04-2008,13-04-2008,02-10-2008,N.A.,N.A.,27-12-2008,10-12-2009,29-05-2009,10-05-2010,N.A.,N.A.,N.A.,N.A.,09-06-2009,13-08-2010,N.A.,N.A.,08-07-2009,14-10-2010,N.A.,N.A.,30-05-2008,14-09-2009,N.A.,N.A.,26-01-2009,10-07-2010,N.A.,N.A.,28-03-2009,29-09-2010,20-04-2009,26-10-2010,N.A.,N.A.,20-07-2009,21-11-2010,22-09-2009,29-06-2011,N.A.,N.A.,22-09-2009,08-10-2011,22-09-2009,08-10-2011,N.A.,N.A.
55,MAITHON RBTPP UNIT-1 (2X525 MW),PRIVATE,525,25-10-2007,JHARKHAND,BTG,PSER,MAITHON POWER LIMITED,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,25-07-2008,08-09-2008,22-12-2008,22-03-2009,N.A.,N.A.,25-11-2009,23-03-2010,10-05-2010,05-12-2010,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,30-07-2010,10-03-2011,N.A.,N.A.,25-05-2009,10-08-2009,N.A.,N.A.,21-04-2010,02-11-2010,N.A.,N.A.,21-06-2010,26-01-2011,15-07-2010,08-02-2011,N.A.,N.A.,19-08-2010,28-03-2011,25-09-2010,30-06-2011,N.A.,N.A.,28-09-2010,01-09-2011,25-09-2010,17-01-2012,N.A.,N.A.
56,KODERMA TPP UNIT-1 (2X500 MW),CENTRAL,500,21-07-2007,JHARKHAND,EPC,PSER,DVC,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,20-04-2008,15-09-2008,17-09-2008,08-03-2009,N.A.,N.A.,21-08-2009,07-03-2010,05-02-2010,30-12-2010,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,18-02-2009,26-08-2009,N.A.,N.A.,18-01-2010,20-12-2010,N.A.,N.A.,24-03-2010,22-03-2011,15-04-2010,12-05-2011,N.A.,N.A.,05-05-2010,27-06-2011,08-05-2010,20-07-2011,N.A.,N.A.,19-06-2010,18-07-2013,19-06-2010,21-10-2013,N.A.,N.A.
57,DURGAPUR STEEL TPS UNIT-1 (2X500 MW),CENTRAL,500,03-08-2007,WEST BENGAL,EPC,PSER,DVC,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,03-05-2008,06-07-2008,30-09-2008,29-04-2009,N.A.,N.A.,03-09-2009,30-03-2010,03-03-2010,27-02-2011,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,03-03-2009,14-09-2009,N.A.,N.A.,31-01-2010,13-11-2010,N.A.,N.A.,06-04-2010,26-04-2011,25-05-2010,04-05-2011,N.A.,N.A.,03-06-2010,12-07-2011,27-07-2010,29-07-2011,N.A.,N.A.,31-08-2010,15-05-2012,31-08-2010,04-01-2013,N.A.,N.A.
58,KHAPERKHEDA TPS (1X500 MW) ,STATE,500,23-01-2007,MAHARASHTRA,BTG,PSWR,MAHAGENCO,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,22-12-2007,12-02-2008,22-06-2008,28-11-2008,N.A.,N.A.,22-05-2009,05-11-2009,22-12-2009,27-10-2010,22-01-2010,17-11-2010,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,22-02-2010,06-02-2011,N.A.,N.A.,22-09-2008,27-03-2009,N.A.,N.A.,22-11-2009,31-10-2010,N.A.,N.A.,N.A.,N.A.,22-02-2010,09-03-2011,N.A.,N.A.,22-03-2010,31-03-2011,22-05-2010,05-08-2011,N.A.,N.A.,22-05-2010,16-04-2012,22-05-2010,04-04-2012,N.A.,N.A.
59,HARDUAGANJ EXTENSION UNIT-8 (2 X 250 MW ),STATE,250,07-09-2006,UTTAR PRADESH,BTG + CIVIL,PSNR,UPRVUNL,N.A.,N.A.,N.A.,N.A.,10-01-2007,30-01-2008,07-07-2007,25-08-2008,07-01-2008,30-01-2009,N.A.,N.A.,07-12-2008,30-11-2009,07-04-2009,25-03-2011,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,07-07-2009,19-06-2011,N.A.,N.A.,07-04-2008,06-11-2009,N.A.,N.A.,07-04-2009,10-02-2011,N.A.,N.A.,07-05-2009,25-06-2011,07-07-2009,30-06-2011,N.A.,N.A.,07-08-2009,10-08-2011,07-10-2009,27-09-2011,N.A.,N.A.,07-10-2009,01-02-2012,07-10-2009,30-01-2012,N.A.,N.A.
60,JHAJJAR(INDIRA GANDHI STPP) UNIT-2 (3X500MW),CENTRAL,500,06-07-2007,HARYANA,BTG,PSNR,APCPL/NTPC,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,05-08-2008,12-12-2008,05-01-2009,09-04-2009,N.A.,N.A.,05-12-2009,04-05-2010,05-06-2010,29-05-2011,12-06-2010,16-06-2011,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,05-08-2010,11-08-2011,N.A.,N.A.,12-05-2009,05-12-2009,14-07-2009,05-02-2010,14-06-2010,04-04-2011,N.A.,N.A.,14-09-2010,09-09-2011,01-10-2010,09-10-2011,N.A.,N.A.,14-10-2010,21-10-2011,31-12-2010,05-11-2011,N.A.,N.A.,14-02-2011,21-04-2012,14-02-2011,03-10-2013,N.A.,N.A.
61,NEYVELI TPS II EXPANSION UNIT-1 (2X250 MW),CENTRAL,250,19-08-2005,TAMILNADU,EPC,PSSR,NLC,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,20-06-2006,28-04-2007,19-11-2006,06-02-2008,N.A.,N.A.,18-09-2007,01-07-2009,19-02-2008,28-02-2011,01-04-2008,10-03-2011,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,01-05-2008,02-04-2011,N.A.,N.A.,20-06-2006,29-06-2008,N.A.,N.A.,17-01-2008,10-01-2010,N.A.,N.A.,18-03-2008,31-12-2010,18-04-2008,12-02-2011,N.A.,N.A.,19-05-2008,18-05-2011,19-07-2008,04-02-2012,N.A.,N.A.,19-08-2008,03-07-2015,19-08-2008,27-09-2016,N.A.,N.A.
62,BHUSAWAL UNIT-4 (2X500MW ),STATE,500,23-01-2007,MAHARASHTRA,BTG,PSWR,MSPGCL,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,28-02-2008,26-03-2008,22-08-2008,09-01-2009,N.A.,N.A.,24-07-2009,31-03-2010,22-02-2010,05-03-2011,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,22-11-2008,14-03-2009,N.A.,N.A.,22-01-2010,21-12-2010,N.A.,N.A.,N.A.,N.A.,22-04-2010,28-03-2011,N.A.,N.A.,22-05-2010,11-05-2011,22-08-2010,07-03-2012,N.A.,N.A.,22-08-2010,18-07-2012,24-08-2010,18-07-2012,N.A.,N.A.
63,BELLARY TPS UNIT-2 (1X500 MW) ,STATE,500,19-09-2007,KARNATAKA,EPC,PSSR,KPCL,N.A.,N.A.,N.A.,N.A.,18-12-2007,22-05-2008,18-08-2008,17-11-2008,18-02-2009,06-04-2009,N.A.,N.A.,18-01-2010,24-06-2010,18-07-2010,04-02-2011,03-08-2010,18-04-2011,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,16-09-2010,09-11-2011,N.A.,N.A.,18-08-2009,05-03-2010,N.A.,N.A.,18-05-2010,25-07-2011,N.A.,N.A.,02-08-2010,18-11-2011,18-09-2010,09-01-2012,N.A.,N.A.,18-11-2010,27-01-2012,18-02-2011,23-03-2012,N.A.,N.A.,18-02-2011,10-03-2013,18-02-2011,09-03-2013,18-02-2011,10-03-2013
64,DURGAPUR STEEL TPS UNIT-2 (2X500 MW),CENTRAL,500,03-08-2007,WEST BENGAL,EPC,PSER,DVC,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,03-08-2008,15-11-2008,30-12-2008,08-07-2009,N.A.,N.A.,03-12-2009,26-12-2010,03-06-2010,16-11-2011,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,03-06-2009,25-02-2010,N.A.,N.A.,30-04-2010,13-11-2011,N.A.,N.A.,06-07-2010,12-01-2012,15-08-2010,12-02-2012,N.A.,N.A.,03-09-2010,12-03-2012,27-10-2010,23-03-2012,N.A.,N.A.,27-10-2010,05-03-2013,27-10-2010,25-03-2014,N.A.,N.A.
65,MAITHON RBTPP UNIT-2 (2X525 MW),PRIVATE,525,25-10-2007,JHARKHAND,BTG,PSER,MAITHON POWER LIMITED,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,25-01-2009,25-01-2009,22-06-2009,22-06-2009,N.A.,N.A.,25-05-2010,23-10-2010,10-11-2010,29-08-2011,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,30-01-2011,20-11-2011,N.A.,N.A.,25-11-2009,02-07-2010,N.A.,N.A.,21-10-2010,10-09-2011,N.A.,N.A.,21-12-2010,10-11-2011,15-01-2011,16-12-2011,N.A.,N.A.,09-02-2011,17-03-2012,25-03-2011,23-03-2012,N.A.,N.A.,25-03-2011,24-07-2012,25-03-2011,31-07-2012,N.A.,N.A.
66,VALLUR TPS UNIT-1 (2X500 MW),CENTRAL,500,13-08-2007,TAMILNADU,BTG,PSSR,NTECL,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,12-06-2008,05-01-2009,12-11-2008,10-06-2009,N.A.,N.A.,12-11-2009,15-06-2010,12-06-2010,28-08-2011,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,12-09-2010,01-12-2011,N.A.,N.A.,12-04-2009,10-12-2009,12-06-2009,26-12-2009,12-06-2010,30-09-2011,N.A.,N.A.,12-07-2010,26-12-2011,12-08-2010,26-02-2012,N.A.,N.A.,12-10-2010,09-03-2012,12-02-2011,28-03-2012,N.A.,N.A.,30-04-2011,29-11-2012,30-04-2011,23-03-2013,N.A.,N.A.
67,BHUSAWAL UNIT-5 (2X500MW ),STATE,500,23-01-2007,MAHARASHTRA,BTG,PSWR,MSPGCL,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,22-06-2008,03-08-2008,22-12-2008,20-04-2009,N.A.,N.A.,22-11-2009,29-06-2010,22-06-2010,22-11-2011,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,22-03-2009,29-10-2009,N.A.,N.A.,22-05-2010,09-07-2011,N.A.,N.A.,N.A.,N.A.,22-08-2010,06-02-2012,N.A.,N.A.,22-09-2010,03-03-2012,22-12-2010,30-03-2012,N.A.,N.A.,22-09-2010,01-06-2013,22-09-2010,01-06-2013,N.A.,N.A.
68,SIMHADRI STPP STAGE-II UNIT-4 (2X500 MW),CENTRAL,500,26-03-2007,AHDHRA PRADESH,BTG,PSSR,NTPC,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,25-06-2008,25-06-2008,25-11-2008,24-03-2009,N.A.,N.A.,25-11-2009,31-03-2010,25-06-2010,07-12-2011,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,27-10-2010,18-02-2012,N.A.,N.A.,29-03-2009,08-04-2011,,15-04-2011,29-05-2010,19-12-2011,N.A.,N.A.,N.A.,N.A.,19-08-2010,22-03-2012,N.A.,N.A.,29-08-2010,30-03-2012,25-02-2011,30-03-2012,N.A.,N.A.,25-02-2011,30-09-2012,25-02-2011,29-12-2012,N.A.,N.A.
69,MAUDA THERMAL POWER PROJECT UNIT-1 (2X500 MW),CENTRAL,500,28-11-2008,MAHARASHTRA,BTG,PSWR,NTPC,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,27-09-2009,30-08-2009,27-02-2010,02-06-2010,N.A.,N.A.,27-01-2011,08-04-2011,27-09-2011,20-12-2011,N.A.,N.A.,23-09-2011,09-01-2012,30-09-2011,11-01-2012,29-10-2011,11-02-2012,27-11-2011,03-03-2012,N.A.,N.A.,27-07-2010,19-01-2011,27-09-2010,25-02-2011,27-09-2011,30-12-2011,05-10-2011,15-01-2012,27-11-2011,07-03-2012,20-12-2011,28-03-2012,N.A.,N.A.,27-01-2012,08-04-2012,27-04-2012,19-04-2012,N.A.,N.A.,27-04-2012,13-03-2013,27-04-2012,28-01-2014,N.A.,N.A.
70,PARICHHA TPS EXTN UNIT-5 (2 X 250 MW),STATE,250,04-08-2006,UTTAR PRADESH,BTG + CIVIL,PSNR,UPRVUNL,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,04-05-2007,25-02-2008,20-10-2007,05-09-2008,N.A.,N.A.,29-08-2008,20-04-2009,15-01-2009,26-02-2010,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,30-03-2009,31-12-2011,N.A.,N.A.,05-01-2008,20-06-2009,N.A.,N.A.,08-01-2009,11-04-2010,N.A.,N.A.,11-03-2009,10-01-2012,10-04-2009,18-01-2012,N.A.,N.A.,30-04-2009,05-02-2012,02-07-2009,24-05-2012,N.A.,N.A.,02-07-2009,17-07-2012,02-07-2009,24-06-2012,N.A.,N.A.
71,HARDUAGANJ EXTENSION UNIT-9 (2 X 250 MW ),STATE,250,07-09-2006,UTTAR PRADESH,BTG + CIVIL,PSNR,UPRVUNL,N.A.,N.A.,N.A.,N.A.,10-05-2007,30-01-2008,07-11-2007,20-11-2008,07-05-2008,31-03-2009,N.A.,N.A.,07-04-2009,26-02-2010,07-08-2009,20-11-2011,N.A.,N.A.,22-08-2009,16-12-2011,26-08-2009,20-12-2011,27-10-2009,04-02-2012,07-11-2009,12-02-2012,N.A.,N.A.,07-08-2008,09-03-2010,N.A.,N.A.,07-08-2009,31-12-2011,08-08-2009,11-01-2012,07-09-2009,14-03-2012,07-11-2009,23-03-2012,N.A.,N.A.,07-12-2009,02-04-2012,07-02-2010,25-05-2012,N.A.,N.A.,07-02-2010,06-10-2012,07-02-2010,06-10-2012,N.A.,N.A.
72,RIHAND STPP STAGE-III UNIT- 5 (2X500 MW ),CENTRAL,500,28-01-2009,UTTAR PRADESH,BTG,PSWR,NTPC,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,27-11-2009,07-02-2010,27-04-2010,06-08-2010,N.A.,N.A.,27-03-2011,30-06-2011,27-09-2011,31-01-2012,27-09-2011,19-02-2012,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,27-11-2011,19-03-2012,N.A.,N.A.,16-09-2010,28-09-2010,16-11-2010,30-11-2010,16-10-2011,30-01-2012,N.A.,N.A.,16-12-2011,25-03-2012,11-01-2012,24-04-2012,N.A.,N.A.,16-02-2012,19-05-2012,27-04-2012,25-05-2012,N.A.,N.A.,27-04-2012,19-11-2012,27-04-2012,07-03-2013,N.A.,N.A.
73,VINDHYACHAL STPP STAGE-IV UNIT-11 (2X500 MW),CENTRAL,500,29-01-2009,MADHYA PRADESH,BTG,PSWR,NTPC,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,28-11-2009,11-03-2010,28-04-2010,30-06-2010,N.A.,N.A.,28-03-2011,30-06-2011,28-09-2011,14-02-2012,01-10-2011,19-02-2012,13-10-2011,17-02-2012,19-10-2011,19-02-2012,30-10-2011,11-03-2012,28-11-2011,26-03-2012,N.A.,N.A.,17-09-2010,29-10-2010,17-11-2010,17-12-2010,17-10-2011,31-12-2011,08-11-2011,27-01-2012,17-12-2011,21-03-2012,11-01-2012,24-04-2012,N.A.,N.A.,17-02-2012,13-06-2012,28-04-2012,14-06-2012,N.A.,N.A.,28-04-2012,01-03-2013,28-04-2012,28-09-2013,N.A.,N.A.
74,BINA UNIT-1 (2 X 250 MW),PRIVATE,250,20-09-2008,MADHYA PRADESH,BTG,PSWR,BPSCL,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,20-07-2009,04-01-2010,19-11-2009,24-03-2010,N.A.,N.A.,19-09-2010,04-02-2011,19-01-2011,25-02-2012,N.A.,N.A.,N.A.,N.A.,31-03-2011,07-03-2012,N.A.,N.A.,10-05-2011,04-05-2012,N.A.,N.A.,19-01-2010,31-10-2010,N.A.,N.A.,05-03-2011,11-07-2011,N.A.,N.A.,10-04-2011,11-04-2012,25-05-2011,26-05-2012,N.A.,N.A.,19-06-2011,27-06-2012,19-07-2011,12-08-2012,N.A.,N.A.,19-09-2011,29-08-2012,19-09-2011,21-03-2014,N.A.,N.A.
75,JHAJJAR(INDIRA GANDHI STPP) UNIT-3 (3X500MW),CENTRAL,500,06-07-2007,HARYANA,BTG,PSNR,APCPL/NTPC,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,05-11-2008,30-03-2009,05-04-2009,12-11-2009,N.A.,N.A.,05-03-2010,30-04-2011,05-09-2010,17-05-2012,12-09-2010,10-06-2012,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,05-11-2010,03-08-2012,N.A.,N.A.,14-08-2009,16-02-2011,14-10-2009,12-07-2011,14-09-2010,02-06-2012,N.A.,N.A.,14-12-2010,31-08-2012,31-12-2010,28-10-2012,N.A.,N.A.,14-01-2011,07-11-2012,31-03-2011,07-11-2012,N.A.,N.A.,14-05-2011,26-04-2013,14-05-2011,30-11-2013,N.A.,N.A.
76,ADHUNIK TPP UNIT-1 (2X270 MW),PRIVATE,270,19-05-2009,JHARKHAND,BTG,PSER,APNRL,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,20-03-2010,18-03-2010,30-07-2010,27-08-2010,N.A.,N.A.,30-04-2011,06-09-2011,30-09-2011,20-04-2012,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,10-10-2011,21-06-2012,N.A.,N.A.,30-09-2010,29-12-2010,N.A.,N.A.,24-08-2011,20-10-2011,N.A.,N.A.,24-09-2011,14-05-2012,24-10-2011,25-05-2012,N.A.,N.A.,24-11-2011,13-11-2012,31-01-2012,19-11-2012,N.A.,N.A.,31-01-2012,27-01-2013,31-01-2012,27-01-2013,31-01-2012,
77,KODERMA TPP UNIT-2 (2X500 MW),CENTRAL,500,21-07-2007,JHARKHAND,EPC,PSER,DVC,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,20-07-2008,25-02-2009,17-12-2008,09-07-2009,N.A.,N.A.,21-11-2009,09-09-2010,05-05-2010,26-04-2012,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,18-05-2009,29-01-2011,N.A.,N.A.,18-04-2010,20-07-2012,N.A.,N.A.,24-06-2010,10-10-2012,21-07-2010,23-01-2013,N.A.,N.A.,08-08-2010,11-02-2013,21-09-2010,15-02-2013,N.A.,N.A.,21-09-2010,14-06-2014,21-09-2010,14-01-2015,N.A.,N.A.
78,VALLUR TPS UNIT-2 (2X500 MW),CENTRAL,500,13-08-2007,TAMILNADU,BTG,PSSR,NTECL (NTPC TAMILNADU ENERGY COMPANY LIMITED),N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,12-11-2008,18-07-2009,13-04-2009,26-12-2009,N.A.,N.A.,12-04-2010,31-12-2010,12-11-2010,16-07-2012,N.A.,N.A.,01-12-2010,26-09-2012,12-12-2010,28-09-2012,25-01-2011,27-11-2012,28-02-2011,19-12-2012,N.A.,N.A.,12-09-2009,11-05-2011,12-11-2009,24-10-2011,12-11-2010,19-07-2012,12-11-2010,26-10-2012,12-12-2010,20-12-2012,12-02-2011,31-01-2013,N.A.,N.A.,12-03-2011,26-02-2013,12-07-2011,28-02-2013,N.A.,N.A.,12-07-2011,25-08-2013,12-07-2011,25-11-2013,N.A.,N.A.
79,UKAI UNIT-6 (1X500 MW),STATE,500,06-10-2007,GUJARAT,EPC,PSWR,GSECL,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,02-03-2009,06-05-2009,15-07-2009,31-12-2009,N.A.,N.A.,10-03-2010,14-10-2010,30-09-2010,07-03-2012,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,12-08-2009,27-06-2011,12-09-2009,13-07-2011,30-08-2010,27-02-2012,N.A.,N.A.,15-10-2010,03-07-2012,17-11-2010,21-09-2012,N.A.,N.A.,26-12-2010,30-09-2012,06-02-2011,05-03-2013,N.A.,N.A.,06-02-2011,06-07-2014,06-02-2011,06-07-2014,N.A.,N.A.
80,NORTH CHENNAI TPS STAGE-II UNIT-2 (2X600 MW),STATE,600,16-08-2008,TAMILNADU,EPC,PSSR,TANGEDCO,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,17-07-2009,18-07-2009,17-12-2009,25-03-2010,N.A.,N.A.,17-11-2010,28-03-2011,29-05-2011,11-04-2012,N.A.,N.A.,N.A.,N.A.,19-06-2011,24-06-2012,28-06-2011,11-09-2012,22-07-2011,09-10-2012,N.A.,N.A.,18-04-2010,12-05-2011,N.A.,N.A.,19-03-2011,03-08-2012,20-04-2011,17-08-2012,19-05-2011,28-09-2012,19-06-2011,13-10-2012,N.A.,N.A.,03-08-2011,17-12-2012,18-11-2011,09-03-2013,N.A.,N.A.,18-11-2011,08-05-2014,18-11-2011,08-05-2014,,
81,PARICHHA TPS EXTN UNIT-6 (2 X 250 MW),STATE,250,04-08-2006,UTTAR PRADESH,BTG + CIVIL,PSNR,UPRVUNL,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,04-09-2007,05-05-2008,20-02-2008,04-12-2008,N.A.,N.A.,29-12-2008,16-11-2009,15-05-2009,28-04-2012,N.A.,N.A.,01-06-2009,11-05-2012,05-06-2009,15-05-2012,19-07-2009,09-08-2012,30-07-2009,17-08-2012,N.A.,N.A.,05-05-2008,15-12-2009,N.A.,N.A.,08-05-2009,20-05-2011,09-05-2009,04-04-2012,08-06-2009,19-08-2012,10-08-2009,30-08-2012,N.A.,N.A.,30-08-2009,17-09-2012,02-11-2009,11-03-2013,N.A.,N.A.,02-11-2009,18-04-2013,02-11-2009,18-04-2013,N.A.,N.A.
82,BELA (1X270 MW),PRIVATE,270,01-04-2009,MAHARASHTRA,BTG,PSWR,IEPL,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,26-12-2009,06-03-2010,26-06-2010,27-08-2010,N.A.,N.A.,15-04-2011,06-06-2011,15-08-2011,29-02-2012,15-09-2011,10-05-2012,20-09-2011,01-04-2012,25-09-2011,05-04-2012,19-10-2011,20-04-2012,15-10-2011,25-05-2012,N.A.,N.A.,25-08-2010,01-01-2011,N.A.,N.A.,16-07-2011,31-07-2012,18-09-2011,25-06-2012,15-09-2011,30-07-2012,15-10-2011,12-09-2012,N.A.,N.A.,28-11-2011,07-03-2013,25-01-2012,20-03-2013,N.A.,N.A.,25-01-2012,18-07-2013,25-01-2012,,N.A.,N.A.
83,KORBA WEST (1 X 500 MW),STATE,500,31-12-2008,CHHATTISGARH,BTG + CIVIL,PSER,CSPGCL,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,30-10-2009,24-05-2010,31-05-2010,29-11-2010,N.A.,N.A.,30-05-2011,20-09-2011,30-10-2011,30-09-2012,N.A.,N.A.,27-11-2011,18-11-2012,05-12-2011,26-11-2012,24-12-2011,07-01-2013,31-12-2011,24-01-2013,N.A.,N.A.,30-08-2010,27-04-2011,N.A.,N.A.,21-09-2011,19-05-2012,28-09-2011,28-08-2012,27-10-2011,21-11-2012,21-01-2012,30-01-2013,N.A.,N.A.,28-02-2012,18-03-2013,30-06-2012,22-03-2013,N.A.,N.A.,30-06-2012,05-09-2013,30-06-2012,03-01-2014,N.A.,N.A.
84,SATPURA UNIT-10 ( 2 X 250 MW ) ,STATE,250,27-02-2009,MADHYA PRADESH,BTG + CIVIL,PSWR,MPPGCL,27-02-2009,27-02-2009,01-07-2009,30-10-2009,01-09-2009,27-11-2009,01-01-2010,08-04-2010,30-04-2010,10-12-2010,N.A.,N.A.,31-01-2011,04-11-2011,31-07-2011,10-10-2012,N.A.,N.A.,31-08-2011,29-11-2012,31-10-2011,04-12-2012,31-10-2011,23-12-2012,31-10-2011,04-01-2013,N.A.,N.A.,01-10-2010,28-11-2011,01-12-2010,06-12-2011,30-09-2011,13-10-2012,31-10-2011,24-11-2012,30-10-2011,13-01-2013,19-11-2011,30-01-2013,N.A.,N.A.,30-11-2011,22-02-2013,27-01-2012,22-03-2013,N.A.,N.A.,27-01-2012,18-08-2013,27-01-2012,09-09-2014,,
85,VINDHYACHAL STPP STAGE-IV UNIT-12 (2X500 MW),CENTRAL,500,29-01-2009,MADHYA PRADESH,BTG,PSWR,NTPC,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,28-03-2010,24-06-2010,28-08-2010,25-01-2011,N.A.,N.A.,28-07-2011,28-03-2012,28-01-2012,21-12-2012,N.A.,N.A.,01-02-2012,29-12-2012,06-02-2012,31-12-2012,28-02-2012,25-01-2013,28-03-2012,12-02-2013,N.A.,N.A.,17-01-2011,17-05-2012,17-03-2011,15-06-2012,17-02-2012,26-12-2012,17-03-2012,05-01-2013,17-04-2012,19-02-2013,07-05-2012,08-03-2013,N.A.,N.A.,28-06-2012,22-03-2013,28-08-2012,22-03-2013,N.A.,N.A.,28-08-2012,27-03-2014,28-08-2012,09-06-2014,N.A.,N.A.
